name,year,genre
Pulp Fiction,1994,"Thriller, Crime, Comedy"
The Godfather,1972,"Drama, Crime"
Toy Story,1995,"Family, Comedy, Animation, Adventure"
The Lion King,1994,"Family, Animation, Drama, Adventure"
E.T. the Extra-Terrestrial,1982,"Science Fiction, Adventure, Family, Fantasy"
Interstellar,2014,"Adventure, Drama, Science Fiction"
Coco,2017,"Family, Animation, Music, Adventure"
WALL·E,2008,"Animation, Family, Science Fiction"
No Country for Old Men,2007,"Crime, Thriller, Western"
Fargo,1996,"Crime, Drama, Thriller"
Forrest Gump,1994,"Comedy, Drama, Romance"
Whiplash,2014,"Drama, Music"
Django Unchained,2012,"Drama, Western"
The Incredibles,2004,"Action, Adventure, Animation, Family"
V for Vendetta,2005,"Action, Thriller, Science Fiction"
Green Book,2018,"Drama, Comedy, History"
The Worst Person in the World,2021,"Drama, Romance, Comedy"
The Matrix Reloaded,2003,"Adventure, Action, Thriller, Science Fiction"
The Matrix Resurrections,2021,"Science Fiction, Action, Adventure"
The Matrix Revolutions,2003,"Adventure, Action, Thriller, Science Fiction"
Spider-Man,2002,"Action, Science Fiction"
Spider-Man 3,2007,"Action, Adventure, Science Fiction"
Half Baked,1998,"Comedy, Crime"
Pineapple Express,2008,"Action, Comedy, Crime"
Entergalactic,2022,"Animation, Romance, Music"
A Bronx Tale,1993,"Drama, Crime"
2001: A Space Odyssey,1968,"Science Fiction, Mystery, Adventure"
Venom: The Last Dance,2024,"Action, Science Fiction, Adventure"
Elemental,2023,"Family, Fantasy, Comedy, Romance, Animation"
The Piano Teacher,2001,"Drama, Romance"
Past Lives,2023,"Drama, Romance"
Deadpool & Wolverine,2024,"Action, Comedy, Science Fiction"
Incredibles 2,2018,"Action, Adventure, Animation, Family"
Snatch,2000,"Crime, Comedy"
Jacob's Ladder,1990,"Drama, Mystery, Horror"
Bird Box,2018,"Horror, Thriller, Drama"
Alice in Wonderland,1951,"Animation, Family, Fantasy, Adventure"
Taxi Driver,1976,"Crime, Drama"
Ice Age,2002,"Animation, Comedy, Family, Adventure"
The Lion King,2019,"Family, Animation, Drama, Adventure"
The Croods,2013,"Animation, Adventure, Family, Comedy"
Re-Animator,1985,"Science Fiction, Comedy, Horror"
Shrek,2001,"Animation, Comedy, Fantasy, Adventure, Family"
RoboCop,1987,"Action, Thriller, Science Fiction"
Reservoir Dogs,1992,"Crime, Thriller"
Batman Begins,2005,"Drama, Crime, Action"
My Boyfriend's Back,1993,"Comedy, Romance, Horror"
Invictus,2009,"Drama, History"
Moana,2016,"Adventure, Comedy, Family, Animation"
Brave,2012,"Animation, Adventure, Comedy, Family, Action, Fantasy"
Bambi,1942,"Animation, Drama, Family"
It's Such a Beautiful Day,2012,"Animation, Comedy"
Chappie,2015,"Crime, Action, Science Fiction"
Love Jones,1997,"Comedy, Drama, Romance"
In the Mood for Love,2000,"Drama, Romance"
Tron,1982,"Science Fiction, Action, Adventure"
The Mask,1994,"Romance, Comedy, Crime, Fantasy"
Requiem for a Dream,2000,"Crime, Drama"
Me Before You,2016,"Drama, Romance"
The Sixth Sense,1999,"Mystery, Thriller, Drama"
Inside Out 2,2024,"Animation, Adventure, Comedy, Family"
Uncut Gems,2019,"Drama, Thriller, Crime"
Rebel Without a Cause,1955,Drama
Upstream Color,2013,"Drama, Science Fiction"
Mr. Jones,1993,"Drama, Romance"
Ted 2,2015,"Comedy, Fantasy"
Dumb and Dumber,1994,Comedy
Ted,2012,"Comedy, Fantasy"
Bruce Almighty,2003,"Fantasy, Comedy"
Ace Ventura: Pet Detective,1994,"Comedy, Mystery, Crime"
Ace Ventura: When Nature Calls,1995,"Crime, Comedy, Adventure"
Dumb and Dumber To,2014,Comedy
Back to the Future,1985,"Adventure, Comedy, Science Fiction"
Spider-Man 2,2004,"Action, Adventure, Science Fiction"
The Avengers,2012,"Science Fiction, Action, Adventure"
Now You See Me,2013,"Thriller, Crime"
Now You See Me 2,2016,"Thriller, Crime"
The Hangover Part III,2013,Comedy
Pain & Gain,2013,"Comedy, Crime, Action"
22 Jump Street,2014,"Crime, Comedy, Action"
21 Jump Street,2012,"Action, Comedy, Crime"
Neighbors,2014,Comedy
Ride Along,2014,"Action, Comedy"
21 & Over,2013,Comedy
Neighbors 2: Sorority Rising,2016,Comedy
That's My Boy,2012,Comedy
Transformers,2007,"Adventure, Science Fiction, Action"
Transformers: Revenge of the Fallen,2009,"Science Fiction, Action, Adventure"
Transformers: Rise of the Beasts,2023,"Science Fiction, Adventure, Action"
Transformers: Age of Extinction,2014,"Science Fiction, Action, Adventure"
Transformers: The Last Knight,2017,"Action, Adventure, Science Fiction"
Man of Steel,2013,"Action, Adventure, Science Fiction"
Bumblebee,2018,"Action, Adventure, Science Fiction"
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction"
Thor: The Dark World,2013,"Action, Adventure, Fantasy"
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Comedy"
Thor: Ragnarok,2017,"Action, Adventure, Science Fiction, Comedy"
Teenage Mutant Ninja Turtles,2014,"Science Fiction, Action, Adventure, Comedy"
Avengers: Endgame,2019,"Adventure, Science Fiction, Action"
Wonder Woman,2017,"Action, Adventure, Fantasy"
Iron Man 3,2013,"Action, Adventure, Science Fiction"
Iron Man 2,2010,"Adventure, Action, Science Fiction"
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction"
Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction"
Green Lantern,2011,"Adventure, Action, Thriller, Science Fiction"
Venom: Let There Be Carnage,2021,"Science Fiction, Action, Adventure"
The Amazing Spider-Man,2012,"Action, Adventure, Science Fiction"
Black Panther,2018,"Action, Adventure, Science Fiction"
Skyfall,2012,"Action, Adventure, Thriller"
No Time to Die,2021,"Action, Thriller, Adventure"
Spectre,2015,"Action, Adventure, Thriller"
Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction"
The Last Airbender,2010,"Action, Adventure, Fantasy"
The Living Daylights,1987,"Action, Adventure, Thriller"
Die Another Day,2002,"Adventure, Action, Thriller"
The World Is Not Enough,1999,"Adventure, Action, Thriller"
Tomorrow Never Dies,1997,"Adventure, Action, Thriller"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction"
The Incredible Hulk,2008,"Science Fiction, Action, Adventure"
Thor: Love and Thunder,2022,"Fantasy, Action, Comedy"
Licence to Kill,1989,"Adventure, Action, Thriller"
Bohemian Rhapsody,2018,"Music, Drama"
Straight Outta Compton,2015,"Drama, Music, History"
The Banker,2020,Drama
Dope,2015,"Crime, Drama, Comedy"
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy"
The Super Mario Bros. Movie,2023,"Family, Comedy, Adventure, Animation, Fantasy"
Ralph Breaks the Internet,2018,"Family, Animation, Comedy, Adventure"
Hotel Transylvania,2012,"Animation, Comedy, Family, Fantasy"
Hotel Transylvania 2,2015,"Animation, Comedy, Family, Fantasy"
Trolls Band Together,2023,"Animation, Family, Music, Fantasy, Comedy"
Despicable Me 4,2024,"Family, Comedy, Animation, Science Fiction"
Despicable Me,2010,"Family, Comedy, Animation, Science Fiction"
Rio,2011,"Animation, Adventure, Comedy, Family"
The Angry Birds Movie,2016,"Animation, Adventure, Comedy, Family"
Belly,1998,"Crime, Drama"
The Five-Year Engagement,2012,"Comedy, Romance"
Step Up 3D,2010,"Drama, Romance"
96,2018,Romance
The Master of Disguise,2002,"Comedy, Family, Fantasy, Adventure"
Click,2006,"Comedy, Drama, Fantasy"
The Number 23,2007,"Thriller, Mystery, Crime"
The Green Hornet,2011,"Action, Crime, Comedy"
Kingsman: The Secret Service,2014,"Crime, Comedy, Action, Adventure"
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy"
Nobody,2021,"Action, Thriller"
Mad Max 2,1981,"Adventure, Action, Thriller, Science Fiction"
Antz,1998,"Animation, Family, Comedy, Adventure, War"
The Bodyguard,1992,"Action, Drama, Romance"
We're the Millers,2013,"Comedy, Crime"
Premium Rush,2012,"Crime, Action, Thriller"
Paid in Full,2002,"Action, Crime, Drama"
Dangerous Minds,1995,Drama
Notorious,2009,"Music, Drama, History"
R.I.P.D.,2013,"Fantasy, Action, Comedy"
Charlie's Angels,2019,"Action, Adventure, Comedy"
Men in Black: International,2019,"Comedy, Science Fiction, Action, Adventure"
New Jack City,1991,"Thriller, Crime, Drama"
Coach Carter,2005,"Drama, History"
The Hurricane,1999,Drama
Fresh,1994,"Crime, Drama, Thriller"
Lean On Me,1989,Drama
G.I. Joe: Retaliation,2013,"Action, Science Fiction, Adventure, Thriller"
Menace II Society,1993,"Drama, Crime, Thriller"
Ol' Dirty Bastard: A Tale of Two Dirtys,2024,Documentary
The Hateful Eight,2015,"Drama, Mystery, Western"
Ghost,1990,"Fantasy, Drama, Thriller, Mystery, Romance"
Jason's Lyric,1994,"Crime, Drama, Romance"
Dead Presidents,1995,"Action, Crime, Drama, Thriller, War"
The Players Club,1998,"Comedy, Drama"
The Last King of Scotland,2006,Drama
Temptation: Confessions of a Marriage Counselor,2013,Drama
Devil in a Blue Dress,1995,"Thriller, Crime, Mystery"
American History X,1998,Drama
American Gangster,2007,"Drama, Crime"
The Untouchables,1987,"Crime, History, Thriller"
Network,1976,Drama
Fences,2016,Drama
2 Guns,2013,"Action, Comedy, Crime"
Antwone Fisher,2002,"Drama, History, Romance"
The Big Country,1958,"Drama, Western, Romance"
Cinderella,1950,"Family, Fantasy, Animation, Romance"
Pinocchio,1940,"Animation, Family, Fantasy"
A Bug's Life,1998,"Family, Animation, Adventure, Comedy"
